T0.Color,Concn of algae (103 cells g [wet wt] of tissue_1),Concn of chloro- phyll a (_g [wet wt] of tissue_1),Fm
Dark,43.7,120,"3,540"
Dark,45.5,90,"3,460"
Dark,111.7,219,"3,630"
Dark,62.6,183,"3,860"
Semi,7.2,55,"1,040"
Semi,7.8,70,"1,430"
Semi,5.8,24,820
